MW;1-2;2-2;3-2;4-2;5-2;6-2;7-2;8-2;9-2;10-2;11-2;12-2;13-2;14-2;15-2;16-2;17-2;18-2;19-2;20-2;21-2;22-2;23-2
2,8045;32,6385;39,131;50,6015;67,0169;68,3097;80,1589;87,6443;79,6309;36,5037;66,3032;54,8707;46,4536;61,5378;63,3242;96,3944;48,2181;48,8313;51,7974;45,795;32,9042;33,2014;49,5132;63,1591
2,8724;34,2256;42,157;53,436;70,8125;70,963;91,6005;92,9669;87,9526;42,8923;70,062;53,506;52,9939;65,7115;66,7362;102,5641;55,7939;52,7441;53,9349;47,1689;38,6358;36,5462;50,7942;68,1065
2,9403;38,4371;49,664;57,3483;74,2917;77,6914;98,5251;101,1267;101,0581;35,4629;76,3562;57,2243;54,2793;72,0875;62,5202;107,4046;60,2696;53,4548;55,8612;48,1508;40,5405;40,2195;57,6976;68,5828
3,0082;42,4124;53,3063;62,6518;71,4782;90,4257;104,1773;109,0364;104,3767;33,0279;81,8266;55,4413;52,0773;74,2526;64,054;103,8364;57,7725;58,3437;60,6232;48,6368;40,3333;42,4445;58,8649;67,9801
3,0761;43,8041;54,8824;64,6295;79,0462;96,8099;105,3556;113,895;108,6405;38,0546;82,122;55,2547;48,0313;72,7142;69,3138;105,3977;57,2478;59,4407;61,8465;47,7802;40,3482;43,0437;58,9214;72,5631
3,144;46,1797;59,391;66,739;80,7948;102,416;111,8279;119,1579;111,3669;33,7302;81,9654;59,7243;46,6235;72,3608;70,9355;112,7913;57,7008;64,6055;62,9499;43,9629;39,6943;46,1242;55,0846;77,2526
3,2119;45,1224;62,5795;71,6961;82,7658;106,6475;114,4878;129,0296;117,31;35,2923;78,3468;60,2023;53,1751;82,9613;68,6551;115,0699;55,9483;67,9819;58,3144;44,8051;36,8271;48,8369;57,2238;75,3103
3,2798;43,7141;67,8923;76,9024;81,6843;108,9563;115,3867;140,5688;120,7862;37,1611;81,8995;61,2015;54,2156;86,9119;70,9327;121,4548;52,746;67,4222;57,1121;45,7724;36,6668;50,8881;62,0253;74,2887
3,3476;47,264;69,0131;73,7491;79,1493;120,5753;115,5007;144,9903;120,0399;35,8744;82,076;63,5195;52,7318;83,6999;80,0818;129,3222;51,0058;71,476;54,2019;42,5465;43,0465;59,3666;65,4403;73,3045
3,4155;48,3885;69,1952;67,6307;82,9912;127,2568;119,978;147,5488;124,0837;36,4945;77,8332;65,0063;45,0727;88,1153;88,4018;130,0336;48,6029;69,2933;51,519;41,8925;41,8552;65,8782;69,6192;72,7176
3,4834;51,3211;73,2383;66,5738;81,1723;134,5962;123,5744;150,6924;124,4094;36,0918;75,0081;60,2897;39,7656;98,8326;94,3621;132,0361;50,0779;69,8319;51,8231;43,3104;34,2418;71,4029;68,1966;72,4188
3,5513;52,4997;77,1898;73,0619;80,9835;140,4637;127,3642;148,9436;124,7293;36,2246;74,0269;55,9463;39,0382;105,0666;92,3938;138,0625;54,5888;68,8126;53,3357;47,2423;38,0909;79,5919;67,5442;71,7318
3,6192;57,9329;85,1062;75,2816;81,7456;144,3029;122,9984;152,9987;125,6423;37,6192;72,7065;63,228;41,0919;103,5392;87,2819;149,3365;55,1532;69,1147;54,9735;55,1954;42,3624;89,6052;73,9874;73,2131
3,6871;61,6934;91,5916;82,7277;83,5046;150,7661;121,7172;160,6723;132,7065;41,8788;73,8987;74,972;43,2264;103,2356;104,0488;161,2655;56,501;73,0026;59,8943;51,6559;42,4854;104,266;82,5782;73,3634
3,755;64,67;93,5647;85,6062;83,8528;165,3391;120,9939;170,6144;137,7405;43,8019;78,356;77,1826;41,4756;106,7995;108,8556;164,887;56,8891;72,5053;59,2396;55,2879;43,8828;116,0916;85,7986;75,1094
3,8229;64,2768;100,4627;91,2948;83,0105;173,8318;123,8819;178,4299;134,2394;45,4678;77,7413;75,8889;46,4434;116,9455;123,6971;171,8764;60,5786;82,3998;61,218;59,0592;48,8295;126,059;88,3252;75,8051
3,8908;71,2806;106,4214;88,6588;89,6738;176,2576;131,5628;189,1208;134,788;50,3211;74,408;79,3645;45,4358;116,8328;123,0151;172,4028;66,4608;86,2021;64,0292;68,4584;50,8278;134,5461;94,1935;77,8812
3,9587;76,2827;107,3698;97,4232;95,6108;187,1645;130,5378;201,9674;139,9022;55,3154;70,1645;74,925;51,9363;119,2228;149,2286;185,0174;71,5962;89,7343;62,7949;75,0608;50,2277;149,1178;98,4937;82,3776
4,0266;80,0837;113,476;98,1677;97,8823;192,9314;128,6038;213,0541;148,0956;54,4447;79,9256;78,516;57,3256;115,6218;163,3958;193,984;76,8338;92,7703;66,4826;84,4978;51,1718;160,2577;108,7869;88,0393
4,0945;81,8133;117,5541;102,7427;100,4108;197,4205;127,2259;224,5859;158,8422;54,0136;81,7311;83,4278;54,948;111,0314;164,4768;199,8388;86,1121;85,3006;72,2883;91,8085;53,9493;170,9971;118,5162;93,1293
4,1624;78,2667;124,2615;105,0414;105,6765;205,3154;125,5625;238,6753;160,9025;64,4228;78,0763;88,8068;59,7894;107,8847;167,9464;214,205;85,4718;89,7197;77,9159;99,9593;52,6943;185,9397;118,566;94,572
4,2303;73,8327;121,988;110,9043;109,382;204,9245;128,167;251,8347;159,4645;70,3583;77,2295;98,3181;60,1715;108,3029;178,8142;212,2103;77,1481;93,9783;82,1574;111,4058;51,9741;193,6293;115,7023;92,7897
