MW;24-2;25-2;26-2;27-2;28-2;29-2;30-2;31-2;32-2;33-2;34-2;35-2;36-2;37-2
3,7685;65,3338;15,2032;104,5669;45,3809;103,1479;64,7611;107,3294;105,6061;75,1085;109,6169;116,7807;-14,4257;56,6895;82,4469
3,8334;67,3526;22,0817;116,4548;50,2709;107,0154;69,6552;111,5815;111,7956;77,3052;107,7041;109,4217;-7,1401;60,1717;87,2104
3,8983;73,4837;22,6426;123,6478;51,3852;116,78;76,2335;117,0155;118,8583;83,4836;106,0612;120,4317;-10,4491;59,3373;102,4763
3,9632;81,2134;23,388;130,9156;56,7365;125,2878;83,0649;124,0961;124,0368;87,8713;108,8306;127,4722;-13,6724;64,9406;112,689
4,0281;85,2006;26,5678;127,9934;64,0336;136,75;88,5167;126,7332;129,7479;94,0382;110,5246;131,3331;-17,471;73,358;108,0025
4,093;86,0786;23,046;129,3067;65,1401;149,6048;84,3703;128,8107;137,6219;102,5087;110,3071;141,2143;-15,8449;72,6598;109,8229
4,1579;89,167;22,8843;133,4979;70,1781;161,8405;88,1631;130,9574;141,8323;123,0854;108,7622;130,9748;-12,1893;78,2383;115,3912
4,2227;95,9545;23,963;145,7979;67,6381;161,7989;95,1688;137,9375;143,5739;137,7418;110,1302;123,5215;-8,438;83,1558;115,4464
4,2876;104,24;29,2747;155,5569;73,3365;163,5233;103,3684;144,9541;151,0531;145,1202;110,4165;134,112;-6,7554;89,8614;116,7306
4,3525;109,7404;31,8805;151,2604;81,6245;161,4975;98,3408;143,4898;161,8188;141,7642;104,2825;147,6631;-8,2413;101,6877;113,3058
4,4174;117,2168;29,2172;144,8879;81,4634;151,8144;95,9229;139,8034;169,6614;138,2338;108,3177;148,9686;-7,0659;108,7725;114,0697
4,4823;135,5579;24,8565;151,2243;83,7231;149,8775;102,8835;139,9093;174,4382;135,7532;112,1491;139,1131;-6,8854;112,8286;108,0218
4,5472;146,8344;23,9345;156,6987;74,9246;143,9116;96,979;143,9221;184,0799;137,3383;116,8008;131,7715;-10,7673;111,8496;106,052
4,6121;160,9199;29,3833;151,3036;76,93;144,1158;95,9507;149,5008;183,4562;136,0111;120,6443;135,9679;-11,8872;113,8791;105,2256
4,677;176,2907;26,8001;157,0613;85,661;132,5575;99,6096;147,4608;176,5109;128,3895;114,6932;134,317;-12,6812;124,3891;106,5261
4,7419;193,9879;26,142;163,5272;80,3647;125,9249;102,3591;140,8331;173,6766;125,2149;113,0264;140,7523;-13,5115;135,4718;101,6824
4,8068;210,7815;25,159;165,3058;74,0294;121,0732;103,5114;139,1657;173,1648;129,6499;111,9014;134,1865;-10,4098;137,737;104,1629
4,8716;239,353;24,2122;157,9419;75,2289;116,0975;103,3002;140,0099;169,1917;128,8969;109,4876;129,0155;-9,6711;137,0704;103,7078
4,9368;255,5091;26,602;157,469;77,4492;116,3476;101,4483;139,9454;170,6057;112,9556;108,0272;131,583;-9,9635;137,4578;105,629
5,0276;279,7037;34,2183;155,5961;80,3482;127,4589;100,3341;141,9034;179,5703;111,6293;109,4225;136,7746;-5,0889;129,4864;99,1863
5,1622;308,8884;35,6575;161,4709;80,0258;127,1404;98,4953;145,2701;176,8165;112,0739;114,1082;139,9138;-6,6801;126,0831;94,773
5,3209;344,3866;42,0062;168,9013;84,3389;121,8364;96,5446;149,5928;163,6678;108,0983;114,3117;141,6011;-10,6288;127,9263;95,884
5,4796;387,902;51,2667;174,2847;84,5994;128,3924;98,7657;149,278;163,6566;108,7609;111,3332;145,3468;-12,0376;127,2354;101,7797
5,6384;433,3918;54,0759;190,8965;84,3993;135,506;96,8596;160,0649;172,0393;109,2886;103,5161;160,0291;-11,1372;120,6268;104,8313
5,7971;479,2139;60,5613;198,219;89,0976;138,5796;99,3867;175,4133;175,839;118,1104;105,4414;168,9407;-10,7242;115,9046;117,2268
5,9558;529,4851;76,0812;209,0168;99,0333;152,7376;101,7;185,1134;178,4528;133,5637;106,3617;164,4148;-10,9558;114,5188;128,4462
6,1145;583,4931;93,1426;236,3474;112,5861;160,8644;114,0913;198,4323;180,4886;162,1409;111,5901;172,2866;-9,6535;117,0717;139,9148
6,2732;637,5691;110,3703;265,1799;123,5385;179,9307;128,5787;223,6037;183,4099;170,567;114,1496;183,6805;-9,4867;113,8943;161,8672
6,432;703,2037;131,7316;287,0065;138,1974;201,7166;149,6608;254,3115;201,4217;183,4125;120,5987;194,3503;-8,8042;117,0079;189,0703
6,5907;778,6338;161,6477;315,3992;159,2983;226,4498;170,087;293,6736;226,7424;218,057;135,2562;224,9315;-7,6691;121,8188;222,5088
6,7494;840,4134;191,2502;366,0402;180,4287;262,0705;199,1245;330,3033;247,4729;252,2197;153,0128;260,3916;-6,1171;129,8102;264,271
6,9081;930,7675;228,5534;419,2109;206,1339;310,935;238,3821;377,9694;282,439;298,1518;171,7223;291,4372;-6,9601;136,7967;307,6579
7,0668;1017,8153;263,847;477,968;236,0942;354,1389;268,6063;430,5303;317,9716;342,1518;195,1279;317,427;-1,4473;147,7832;351,0657
7,2255;1094,5396;300,3019;540,7933;268,0305;398,863;326,0767;488,5744;351,7193;406,0726;225,1752;359,2643;-2,1604;157,2098;400,1959
7,3843;1178,1162;338,0357;604,4419;304,5978;456,2224;362,5505;551,3513;396,4889;456,7301;261,2423;403,0041;-3,0052;173,5936;463,0309
