MW;1-1;2-1;3-1;4-1;5-1;6-1;7-1;8-1;9-1;10-1;11-1;12-1;13-1;14-1;15-1;16-1;17-1;18-1;19-1;20-1;21-1;22-1;23-1
1,0465;32,447;32,3307;30,9649;40,4303;38,614;45,9013;42,3338;41,6341;43,7363;53,9938;48,8277;47,6844;47,7387;47,5324;40,6169;45,3692;40,0191;38,7534;35,0493;35,7341;27,2979;37,2317;41,3975
1,1176;32,9252;36,3244;34,8174;42,1912;40,1404;44,7273;40,3815;43,3488;46,4766;53,0117;44,4773;48,2391;48,8861;47,8394;43,9128;45,0939;35,5114;37,6981;35,9151;41,5253;28,6805;37,5066;43,389
1,1887;34,3637;40,8904;36,0498;40,5546;38,022;44,6489;40,5303;45,3356;46,8251;51,4649;43,4001;43,3068;52,2761;40,9239;44,4306;43,1883;35,0713;39,8769;40,2268;41,5397;28,7758;37,6301;45,639
1,2598;35,8826;40,0483;37,2951;38,7345;38,4683;40,7327;40,6461;47,4029;46,9014;52,1715;46,5376;44,6536;50,8768;41,01;45,5429;45,083;38,518;41,8762;39,7187;41,0368;28,2748;37,8593;48,1717
1,3309;35,2789;36,5412;39,4988;36,8719;39,4184;39,0522;43,8142;51,2077;49,816;53,823;51,8651;48,0246;50,1919;44,2603;47,7319;40,7121;38,5938;39,7572;34,5861;44,2261;28,4356;36,2877;51,9055
1,402;36,2268;37,8487;39,2521;37,5984;41,7091;40,9735;52,0403;50,7249;49,8372;55,2595;58,8275;45,3504;48,4491;44,684;43,8796;39,9757;36,3757;39,4057;34,2949;38,4869;31,0119;36,5887;50,2748
1,4731;36,9387;39,4365;34,8713;38,3713;44,983;46,6978;50,6692;47,5062;43,637;55,9246;60,2409;48,9854;52,2344;44,0714;44,5955;42,6045;37,4459;41,4325;41,9187;40,4535;32,3336;34,412;47,9409
1,5443;36,097;38,9101;35,1535;39,0409;40,1125;45,7107;47,8936;45,2879;41,1211;54,0231;50,9201;46,3557;52,2168;44,7057;43,6928;44,7829;37,6873;42,3005;44,2669;42,3287;30,3057;36,157;44,9021
1,6154;36,9895;34,9057;38,6397;40,8513;36,2033;46,4256;45,9838;45,91;40,9303;64,1665;49,1805;42,618;57,7899;45,61;46,7121;45,1386;39,9303;46,8596;40,0445;42,6772;28,3261;36,2799;37,2137
1,6865;34,1743;35,8866;37,8241;35,8802;34,9448;45,6896;44,8686;44,5845;41,328;67,7475;49,6147;39,3501;59,0558;41,4953;50,3319;46,5562;37,0481;49,1852;40,076;41,7424;27,2738;31,1841;36,9173
1,7576;31,5614;37,8727;34,9393;34,3281;34,9246;47,6268;45,2754;41,0774;42,078;66,2081;49,9248;38,5921;58,3216;36,3311;49,8358;46,5328;38,0835;53,1454;40,3207;48,5443;28,5081;30,0994;36,333
1,8287;34,3357;36,6637;31,4349;33,9467;35,5802;45,3582;46,1259;42,3726;41,3271;66,2842;51,9016;40,4699;54,354;42,0265;47,725;47,7961;39,8858;56,2719;42,8546;51,6329;31,0605;31,9523;38,027
1,8998;35,1994;35,5525;34,988;33,8896;39,1412;41,518;50,8303;45,7194;40,8058;71,0273;51,2447;38,1902;56,1515;46,3867;46,9206;51,6113;38,0209;55,8538;37,4295;50,6222;33,8322;28,7015;38,1349
1,9709;35,5649;37,6598;36,474;35,8101;46,1869;41,9521;58,8843;46,6305;41,0843;75,4343;51,5088;34,9887;61,4481;44,0097;49,7729;56,1708;35,6779;58,6191;38,2748;44,6466;31,2617;28,2789;35,8211
2,042;36,2162;40,0923;31,8984;36,3426;47,434;44,6435;54,3348;48,0803;43,5405;73,8565;55,9086;40,4831;63,3695;41,9658;53,9197;64,354;39,6586;62,1111;41,5748;44,6629;29,8641;28,6153;39,7387
2,1131;36,5681;40,8164;27,6689;36,3435;51,5071;47,6435;54,7047;51,9865;47,1563;72,0689;56,9436;38,683;71,0538;48,6868;56,1045;69,027;40,3332;69,6107;40,5562;45,0144;31,7413;31,0539;37,1413
2,1842;39,5241;47,3649;28,6237;40,0099;51,1427;50,0306;57,0309;60,8269;45,3586;74,4727;58,5857;38,456;72,4247;52,9665;57,895;73,5809;42,4852;71,2191;44,34;42,9221;33,7477;33,1717;39,1456
2,2553;42,3015;56,765;29,6019;46,1333;56,3364;50,2419;64,9268;56,8379;50,8851;82,3526;62,2489;42,4348;77,8693;53,8768;55,5804;79,5391;47,0407;72,7695;49,2844;48,4043;33,5125;33,3681;41,5363
2,3264;44,3387;56,514;34,278;51,4469;63,6209;51,3432;66,7449;64,3757;57,7759;89,2093;64,7074;48,8484;77,9566;51,4851;56,6977;84,8965;51,2302;78,2899;50,0798;53,3044;32,3506;36,7139;42,9475
2,3975;47,3983;61,0732;43,6664;55,412;63,1077;54,4161;64,1752;68,8772;61,3872;90,3523;69,4692;51,725;84,3265;53,372;62,4668;88,7843;54,4615;85,503;60,1437;50,0151;37,3102;38,5983;46,2412
2,4686;53,8892;75,5083;48,7856;56,953;66,8468;60,7792;64,6233;71,4937;65,6758;97,8354;75,6972;53,6856;79,5534;64,3081;66,5422;89,9604;57,5182;91,5055;71,7514;51,4361;43,4433;41,2554;52,3895
2,5397;60,9147;73,5807;50,9889;57,784;77,4873;65,1622;69,3842;76,5907;74,5557;109,0409;81,5554;57,1574;87,0784;66,5946;73,3941;98,0412;67,1817;91,3866;74,7518;57,3136;47,8235;48,2154;59,1613
2,6108;66,5188;81,5541;57,6334;64,3028;84,7911;72,89;78,8908;87,8097;83,4137;115,5283;90,293;59,8756;85,1887;64,4897;84,8511;104,8841;78,8168;93,926;78,205;60,688;54,9679;52,2843;64,0538
2,6819;74,3167;88,0005;63,168;76,2748;89,3878;87,8691;90,2587;98,5529;88,6991;125,6455;99,199;65,0365;95,6746;70,2497;90,743;101,6338;83,0036;102,5473;84,3875;67,0396;56,8506;53,6496;64,2281
2,753;79,8909;92,0636;67,0942;85,7703;97,9897;99,9791;93,0667;103,3401;96,1692;139,683;105,2652;68,0652;99,1384;78,4843;98,059;104,1646;86,4448;108,4671;90,1968;71,5766;54,5434;57,1061;64,5416
