MW;1-1;2-1;3-1;4-1;5-1;6-1;7-1;8-1;9-1;10-1;11-1;12-1;13-1;14-1;15-1;16-1;17-1;18-1;19-1;20-1;21-1;22-1;23-1
2,8241;85,8808;99,7962;69,9847;87,3977;111,9853;110,1965;98,7502;110,6383;111,6316;152,8016;111,3049;74,2402;104,1334;82,9053;97,6991;105,7855;91,6832;111,3655;93,2403;72,4561;56,7977;62,3317;71,6532
2,8952;96,2184;106,2044;72,7434;96,9922;123,9144;112,6031;107,5768;116,6004;121,174;168,7393;119,3065;85,1607;105,2429;86,3228;94,2736;110,8478;98,2667;116,4607;96,5986;78,89;58,2781;64,8964;76,1456
2,9663;107,9437;120,5335;71,5257;101,414;128,7467;121,9832;108,7978;131,8164;123,8572;186,0164;128,9018;86,7033;100,6247;89,6334;105,8782;112,9726;102,2959;127,9224;103,2397;87,8561;58,7869;64,0657;73,9486
3,0374;112,2988;125,698;73,5826;104,4785;139,4295;132,4591;112,9456;134,6578;127,3852;197,9939;136,1474;85,3252;98,8711;93,574;109,6523;113,2075;105,1374;130,0712;108,9601;84,7618;62,865;65,0569;76,5565
3,1085;110,3059;132,2831;76,062;115,1852;152,7715;133,425;130,1361;134,3832;136,8117;212,1837;142,7745;87,9532;106,8149;92,9013;106,2792;112,8064;106,8079;126,0186;107,338;77,2119;68,7996;63,802;78,464
3,1797;115,2593;139,5711;84,1524;115,7501;159,5281;132,9223;139,0211;141,4546;134,0686;222,5209;146,9596;86,0231;106,03;92,3994;107,5531;111,945;101,4376;124,5723;102,6164;81,0399;71,6727;60,7611;77,471
3,2508;117,5929;143,7712;79,7642;112,3227;172,2873;134,3068;137,0819;143,3123;132,8131;231,4093;147,0375;78,8902;102,2813;97,0639;101,7589;113,4031;106,1517;123,9013;99,4317;86,1713;65,3822;61,5247;75,9035
3,3219;120,912;138,0379;81,9335;112,9039;175,9765;141,3293;135,3859;143,4647;135,6927;232,3926;145,1943;81,997;105,0375;104,2109;99,0652;112,1015;106,3971;126,0113;97,1738;84,0467;67,8714;64,3688;77,0643
3,393;119,5309;133,0442;84,9958;117,7855;183,2996;147,8948;133,5579;146,9617;137,6675;235,0124;145,2575;82,5692;108,1697;112,7612;103,3873;111,3956;110,9206;121,5575;95,3834;86,2873;74,929;60,713;83,1808
3,4641;116,3359;134,1111;84,8453;118,1246;203,5736;146,7753;130,3594;146,1007;137,1937;229,2922;144,9127;79,9967;113,9685;116,2999;110,7274;109,3673;116,5364;117,9996;99,021;92,3266;80,5123;61,6089;86,8435
3,5352;114,6834;133,1975;82,3556;107,7331;210,9113;148,3614;133,6808;140,9506;134,487;224,2599;144,9252;74,3539;125,0356;117,8275;122,7453;103,1493;125,8904;122,7006;94,7328;95,5466;87,8329;65,6204;85,3786
3,6063;115,6365;139,7343;84,8523;100,2615;221,5235;149,6205;135,4894;135,7504;130,0302;221,6686;139,3865;71,7083;127,809;128,4894;132,6505;99,3906;122,0697;118,339;98,1784;97,8041;96,0472;67,1559;87,3363
3,6774;117,2794;146,7037;88,5758;100,2986;242,2081;147,149;135,1461;133,1411;126,2146;224,2671;132,3498;74,7869;131,6577;142,5197;141,8807;99,7233;125,8307;118,9278;98,6515;92,3567;103,8507;67,603;91,6091
3,7485;120,0343;144,4819;86,7235;97,7657;254,5287;148,2327;136,6676;136,6247;129,2925;222,547;131,5386;76,9295;137,6537;158,7897;143,9907;99,7928;131,4255;124,1133;104,9677;95,1637;113,8988;64,8205;101,0769
3,8196;122,5822;150,7511;88,7652;95,117;259,607;149,3527;140,9558;149,9893;134,9848;209,4073;133,5202;76,8765;143,9797;173,6637;150,8404;102,2922;134,8934;128,5032;106,0153;100,1853;127,1716;67,9521;110,2472
3,8907;123,8989;160,5434;92,3183;94,8383;272,0349;150,5376;140,1038;149,9072;138,0155;208,9457;135,2486;78,6627;158,6013;184,8865;161,0575;101,7384;145,945;130,5679;108,0313;103,4997;142,9542;68,4924;118,567
3,9618;126,0872;162,138;95,9541;96,9583;286,1098;141,0133;157,2041;139,2259;146,0497;219,4768;136,3095;79,9195;159,7413;199,7173;167,7132;106,695;154,7784;136,3149;108,0363;106,023;159,1223;70,4728;131,1025
4,0329;129,5142;159,3319;98,5341;99,2164;304,8087;137,3965;165,1002;138,5151;156,1295;218,8448;136,8701;80,7209;158,115;218,3222;169,4835;106,4666;154,667;147,2344;116,5185;106,2939;171,0836;71,1613;138,5827
4,104;132,6296;169,3249;103,1345;101,9032;303,437;141,8111;165,4398;141,0199;166,8948;202,6748;142,5868;83,8316;157,6815;233,2322;174,8598;106,2243;150,6197;156,0813;122,7565;107,2868;183,3879;73,2801;139,8089
4,1751;136,1668;175,4735;109,8237;100,0065;306,3359;147,615;179,3237;149,3271;177,4719;187,9781;150,803;91,4018;163,7407;244,7096;175,8048;112,5716;154,1379;158,0108;138,9954;109,1663;198,5868;74,1274;147,4768
4,2462;142,3702;180,4021;113,1032;96,6563;308,4132;145,1855;194,5903;146,7774;198,846;176,7051;151,0983;94,5684;157,3022;249,4793;176,3108;110,5225;158,3351;158,4436;147,6376;109,4771;208,2544;76,9381;155,5995
4,3173;147,9592;184,6784;111,2511;103,4381;313,6006;142,4458;194,7047;142,7685;215,1786;179,0762;154,2011;96,6144;151,7276;258,1963;179,0673;103,404;166,3975;163,4591;154,0417;114,8864;220,859;81,3221;157,9688
4,3884;149,1752;182,1922;108,6553;104,6347;313,2506;143,2093;205,7113;150,2569;216,1201;182,2563;158,7475;98,9302;146,272;263,3182;180,089;102,2525;165,9202;171,1185;158,601;120,2625;236,4;86,2168;161,39
4,4595;149,5451;183,476;108,0897;101,5328;308,4883;142,5553;222,9113;151,0375;219,9192;176,6906;164,0267;101,6788;141,4284;254,4722;179,3264;103,0412;168,0373;176,3511;160,9099;116,4838;242,3402;88,6693;169,4529
4,5306;155,8634;188,5491;108,3116;107,2445;309,6722;141,8762;227,8191;149,4673;228,1033;169,3759;170,0112;108,6419;132,3728;248,8277;179,8502;107,3232;177,4723;178,2023;177,3522;111,2697;252,9469;86,6858;169,9156
4,6017;157,609;187,8396;107,833;105,0214;308,4293;140,6878;224,9806;150,4735;233,554;164,9511;179,8231;109,5745;135,0111;241,3694;174,8735;114,2789;174,0963;183,1314;189,9396;108,5956;271,1832;89,7732;172,7258
4,6728;157,3609;190,7372;111,02;106,5744;302,8376;138,8871;228,3277;148,9028;241,7962;161,0544;186,2651;110,1904;130,9788;229,7769;166,8197;111,5595;179,1427;190,9708;190,0595;108,4215;273,2103;89,0429;169,0024
4,7439;161,7186;193,5561;112,4758;107,6574;303,8789;143,2395;232,103;141,8364;240,5976;160,0219;194,3003;114,0942;123,2873;213,266;159,2537;111,4547;185,0589;197,7168;199,3277;112,8237;277,7333;89,4761;168,2798
4,8151;155,2279;194,5513;111,1821;111,151;301,8875;149,0928;232,0655;134,5951;245,2178;165,7079;202,9359;117,3343;122,7563;203,7687;152,5066;113,7012;185,4476;209,8224;206,9977;112,775;297,4025;89,2199;173,3681
4,8862;150,9436;196,17;111,1874;117,0728;281,7439;143,3864;240,6875;131,5264;249,9455;176,2387;203,9884;120,0866;138,4642;197,1751;157,2641;116,3418;190,858;216,9354;216,9088;117,0015;297,1364;90,9882;172,9958
4,9607;155,5019;189,7274;108,9236;119,0812;269,8756;136,8912;248,8528;125,972;240,9614;188,5163;197,9808;121,061;139,7821;187,5199;166,7758;123,4397;196,4736;207,3304;237,1437;120,4837;278,6474;87,9378;173,0534
5,0876;155,4657;179,0655;105,0628;120,0332;259,6757;137,3171;247,8685;121,2677;230,5259;191,7029;191,9022;120,3514;130,9125;179,1744;163,0865;125,5363;187,9438;203,5696;239,2895;127,8199;275,9656;85,4505;176,1535
5,2629;156,4945;177,648;107,6967;123,04;246,2566;138,4752;244,1503;120,4209;223,0322;193,0413;192,9185;119,5094;139,7052;174,1946;156,2506;130,0501;190,0569;203,1838;226,3312;134,8367;281,5489;86,873;178,9462
5,4508;154,8919;180,198;111,476;126,2612;236,3122;133,6479;241,4347;112,1472;222,2801;202,5074;202,667;123,0751;155,4444;174,8825;154,1226;133,2893;197,2269;200,9086;225,6555;141,8292;273,5452;81,545;182,1504
5,6387;155,3535;186,966;117,7691;128,8078;210,9605;135,536;236,8549;108,6693;224,1179;217,0925;204,1346;127,952;164,2591;177,2789;154,9898;139,4682;197,5903;188,8816;227,4425;146,7943;263,7069;82,7875;187,6637
5,8266;160,6886;192,8266;127,7382;130,2477;189,1489;137,9115;233,5814;102,4555;217,1922;228,7252;191,1073;131,5273;189,5388;178,4275;164,0258;149,8249;189,9065;179,1627;225,2867;159,5849;258,0114;78,2971;197,5043
6,0145;166,4516;200,3396;138,7721;134,3218;176,9031;147,5841;229,9706;104,0166;209,4133;246,2121;186,9223;132,8302;223,6479;189,2002;183,8723;163,5946;201,771;173,6033;223,1413;181,879;249,4453;80,9134;200,837
6,2025;179,0202;210,7848;153,9773;140,7229;162,7384;148,1126;224,2971;112,1132;210,1389;277,9006;188,4107;140,0198;251,7243;197,4176;197,2046;178,8498;190,6452;169,8664;233,7238;206,3245;237,5651;90,8504;212,0448
6,3904;195,7691;240,6522;173,6173;150,4202;148,8651;142,8105;229,5625;121,0707;210,0893;298,8527;185,3356;145,1172;279,2721;199,4926;221,039;195,9545;191,4278;173,0136;230,8122;239,3733;220,5918;97,076;233,5531
6,5783;219,2993;263,5856;192,9928;163,8879;134,4374;138,8373;229,3201;126,2383;210,2257;344,4605;190,6485;153,0564;320,5894;219,1284;241,5368;219,3362;198,8985;180,4168;228,8917;271,242;211,5268;102,8394;251,4553
6,7662;238,9553;299,0531;229,3723;182,7133;122,2162;140,3525;216,1227;137,8678;219,0328;388,4451;189,0121;160,0732;355,5324;243,1942;272,0791;256,3268;201,7319;185,3995;217,4382;307,2382;211,0063;112,4044;271,5848
6,9541;273,667;331,4343;266,6986;203,7672;119,7932;138,7327;206,3608;147,5;226,4999;430,3842;195,0872;173,0745;393,0428;273,7769;297,9402;295,409;219,1422;193,0552;223,7032;363,7633;211,4717;123,5762;296,0384
7,142;316,633;380,5333;315,0217;226,3707;121,9623;133,646;208,33;160,9464;239,7415;498,1436;213,0939;196,1088;439,9209;309,5735;337,5093;339,0142;244,6686;216,3667;246,2584;421,6088;207,6984;141,7524;316,9881
7,33;361,2464;434,5418;370,5862;248,8753;118,2669;134,8765;209,5917;181,5222;264,6981;562,3627;237,9356;217,7488;488,2944;352,6038;390,7335;388,7355;266,1653;249,7092;254,6905;482,6786;206,6229;165,6587;352,4638
7,5179;414,7138;496,4493;423,4749;276,0343;114,689;139,6799;208,6728;209,9111;298,6855;628,8337;265,1182;245,3932;530,1229;405,9632;445,1747;443,3883;307,0049;276,3652;276,1147;543,5803;219,4191;194,6433;391,4
7,7058;476,4647;562,0422;480,92;310,6312;113,4688;143,1769;222,0626;238,2439;344,3845;711,0611;288,9504;275,5182;569,0041;463,6324;495,0554;507,8292;358,1325;300,6614;307,9485;612,5177;227,6359;234,767;429,6159
7,8937;547,6041;631,8249;546,7378;353,6488;115,5217;148,361;238,5178;271,5347;394,3228;800,2261;324,7357;318,2401;616,802;534,3265;549,1338;579,3504;410,1672;337,9311;349,8884;692,8124;237,9405;274,6309;465,0601
8,0816;616,2862;717,4158;626,1052;395,8245;123,2351;153,2886;261,8024;308,0375;462,4607;907,0901;371,8658;363,3653;669,334;601,8211;612,6707;660,7403;486,8565;390,3177;403,1049;779,3;263,3501;312,7474;498,9132
8,2695;698,8269;811,7766;709,7446;435,6398;123,4598;168,0161;287,5874;352,682;531,8624;1015,0821;428,6551;408,5205;703,4524;671,9202;672,8921;747,8546;590,23;447,0525;468,4586;856,937;289,1553;371,9792;528,9289
8,4575;788,342;909,5009;784,2964;481,2764;121,9501;188,7827;323,0266;398,9161;615,2063;1126,7808;476,9876;455,4231;700,3047;757,5842;731,6215;825,8702;708,0516;507,5618;545,8983;922,2675;325,0446;432,8831;556,6124
8,6454;869,209;1014,6911;870,1452;531,1732;122,0825;214,6182;360,0114;438,6737;707,6713;1233,8292;551,8862;519,1279;672,9869;850,4746;790,2851;895,361;847,2739;575,9262;637,9118;987,2848;355,7655;490,0471;578,4664
8,8333;955,3998;1118,7239;936,7012;578,3465;123,4549;249,7428;396,8182;493,1986;803,3263;1293,5843;630,8656;570,8849;647,1756;934,7309;849,9807;969,5658;1022,0916;648,6061;746,1565;1060,6369;390,0775;546,3756;581,8007
9,0212;1040,1952;1194,467;989,6967;625,9372;119,937;292,3543;437,9552;547,7835;915,4365;1307,5623;715,4093;615,2217;618,4069;998,1066;881,3699;1040,7917;1218,4311;723,047;867,6388;1133,9062;432,6176;606,0512;576,7964
9,2091;1116,7497;1245,695;1020,7523;672,8111;119,9374;353,7315;480,5687;582,8633;1037,529;1379,6906;810,7392;668,4079;573,5295;1042,9721;858,3638;1092,8056;1434,427;794,4286;1003,37;1190,8229;467,203;677,2747;563,9665
9,397;1186,7549;1323,2606;1041,4897;700,9947;122,4825;420,0381;520,1719;629,3705;1135,4606;1392,5416;908,5001;712,9416;536,887;1079,6065;832,8697;1125,8273;1702,0144;878,8151;1149,0428;1246,9886;499,6178;735,9408;539,5443
9,585;1256,7078;1402,3514;1047,8008;714,9026;116,8057;501,4626;562,9312;682,7583;1227,4003;1362,6379;1002,6282;765,4823;526,051;1083,8756;787,8044;1147,3925;1975,8821;968,2299;1298,6667;1328,3407;526,7378;792,0153;521,7691
9,7729;1320,0186;1473,6922;1067,6599;739,0228;111,77;600,251;619,5482;722,8804;1320,6963;1412,9229;1075,8622;836,6122;507,7515;1085,033;759,7679;1164,7377;2233,0814;1071,5556;1451,6108;1413,0472;564,1614;854,8241;510,6556
9,9608;1369,0468;1507,3826;1055,1537;763,7617;114,2023;719,2294;674,7716;750,6613;1350,5309;1414,3551;1154,8327;871,7122;473,4543;1040,9236;727,1115;1187,7035;2496,599;1148,4579;1593,9194;1445,6574;613,2052;914,6041;499,8626
10,1487;1425,4186;1574,5971;1064,2483;806,947;114,506;853,656;690,0804;724,2632;1334,836;1395,4168;1244,5393;880,5751;423,2236;1009,4336;700,2626;1208,6942;2744,3129;1206,9704;1729,2983;1431,0837;672,61;988,5815;489,4347
10,3366;1456,8384;1579,3545;1054,3566;846,9004;115,1256;1014,2063;691,0647;682,911;1316,8702;1399,4225;1319,5289;899,0518;384,7204;972,1549;665,8226;1214,7191;2947,1602;1248,6347;1861,0464;1407,3792;663,0318;1034,9926;477,1571
10,5245;1465,0529;1559,6939;1016,3053;895,5441;122,9584;1191,9467;709,6321;628,0318;1272,058;1379,9562;1397,3445;929,793;341,1217;938,2636;608,6898;1222,8592;3094,7611;1273,1154;1992,2694;1395,4873;659,0549;1094,2966;464,5344
10,7125;1448,8768;1546,8227;982,3351;931,8303;128,1106;1396,4171;716,3587;569,2254;1214,2023;1334,2189;1460,4534;975,7831;303,3002;884,9002;563,1422;1217,1604;3202,9244;1264,4505;2115,1603;1403,1148;657,5883;1108,4661;446,8502
10,9004;1399,0695;1530,7134;924,7728;948,0217;136,1659;1587,1596;704,81;510,6677;1172,6059;1251,7336;1505,7343;982,4714;266,7792;842,0226;545,4905;1181,272;3197,6616;1194,9305;2179,3869;1333,1049;637,366;1086,8078;416,3957
11,0883;1317,5854;1458,4437;864,6544;942,8283;143,9857;1734,1905;709,9821;452,4335;1135,0691;1138,3181;1529,7802;974,9978;231,8081;791,9994;506,8133;1132,1307;3222,508;1089,9884;2271,8505;1186,9379;598,288;1046,2784;379,4877
11,2762;1200,2489;1311,0148;800,0787;947,8211;157,4832;1887,1604;717,3271;386,7765;1099,3524;1007,977;1519,4451;958,9469;206,5645;740,585;442,6183;1050,6418;2908,6645;976,5373;2231,3758;1094,3526;551,2562;1006,2043;344,3779
11,4641;1072,4624;1162,0984;701,3008;912,2105;176,442;2004,9101;719,6881;330,0426;1025,5759;892,9258;1494,6802;927,1667;182,7967;690,5731;390,0153;992,2866;2622,4646;858,2152;2184,9163;992,6994;532,099;938,3051;313,6256
11,652;945,6286;1039,0984;602,532;861,1072;199,9962;2055,5572;714,42;280,6932;965,0892;767,8558;1435,1673;871,2066;179,7689;641,2596;344,6356;925,8648;2346,75;738,2179;2132,5144;914,8048;513,15;828,6883;289,0044
11,8403;816,5465;921,9342;516,4447;785,914;227,7841;2083,127;694,5578;232,1936;905,3087;666,7435;1360,1534;793,1168;172,0768;578,0446;308,0772;872,668;2026,9098;629,2217;2033,7854;822,3458;470,0835;724,8824;268,0995
12,0328;704,0959;789,4852;442,7082;710,2525;265,2927;2037,7644;665,0674;188,0465;840,5169;552,9541;1252,6206;713,5328;169,8033;502,1463;277,2442;816,925;1685,9661;542,8038;1914,6529;719,4411;448,9908;631,3294;248,2514
12,2338;600,9654;666,057;379,2143;631,4038;313,337;1970,0763;639,2213;162,3479;747,9369;485,5711;1127,871;641,4368;165,3443;440,5704;261,5595;771,7552;1387,8602;462,0063;1801,3128;632,0569;424,9933;539,2473;239,1287
12,4373;521,4612;570,6432;326,1341;552,9424;364,7528;1803,058;624,5412;150,3109;652,3359;445,7373;978,2413;570,6233;162,9223;389,3844;252,87;724,9279;1134,6146;393,2317;1705,8571;566,0646;422,2086;469,6902;238,0036
12,6409;452,5444;497,359;283,2874;480,3026;432,7661;1548,6571;572,9593;135,4199;560,6163;411,4056;858,5867;500,4659;164,1241;343,0572;242,2285;670,4369;924,585;327,3029;1611,0299;504,9383;415,7557;407,9445;228,7939
12,8444;398,5029;438,5881;255,6149;418,8356;505,4956;1347,339;522,3403;122,9016;485,4433;375,6239;756,9428;424,9714;156,8792;311,4748;236,9182;620,7686;749,0397;277,1581;1495,3419;450,7685;377,9719;348,4469;225,7488
13,048;364,2615;388,2544;234,92;371,6133;581,1832;1128,2145;467,4679;116,9716;415,2597;341,849;655,023;374,6745;158,0261;285,4959;236,9404;571,5301;620,6562;237,8961;1374,6591;428,7085;355,5813;308,3308;226,3638
13,2516;337,9895;359,4509;215,0756;325,6827;695,3106;912,5335;415,761;112,2191;358,3897;345,188;572,1583;344,6901;166,8275;269,5561;243,0192;536,1707;532,6751;211,5889;1241,4591;406,4704;350,6427;277,5311;228,7745
13,4551;322,0868;341,4245;209,8739;279,9066;809,231;730,8252;369,2852;108,5374;314,8281;320,2837;506,2068;307,1722;174,6985;265,8525;249,2161;506,0886;469,1314;194,672;1102,6202;381,0044;332,9452;253,0564;238,9028
13,6587;316,5711;329,1324;206,1767;251,1665;958,741;591,2851;330,3078;107,472;280,2654;321,3308;451,3064;277,3361;181,7032;268,9437;247,545;480,1033;432,8159;193,8832;981,2815;356,1459;311,2025;231,4079;242,9678
13,8623;306,9827;340,101;202,6233;234,2384;1121,9343;492,2433;294,3162;105,7731;254,7791;336,6597;406,3325;252,5244;180,3478;279,8946;255,0255;455,131;416,2775;180,3413;871,3831;334,5707;316,6141;218,743;256,108
14,0658;302,1503;340,0928;206,9938;226,3862;1272,7006;404,041;263,9896;109,2748;233,8398;337,6915;366,6225;245,6856;180,5765;281,5514;265,2026;433,3868;403,1588;171,1572;770,2414;330,0717;345,0826;214,1686;257,1193
14,2694;306,4218;335,8932;212,6361;221,9932;1418,3206;325,7205;245,7366;113,1413;222,9876;340,476;328,0777;239,77;174,865;293,227;274,8721;430,2895;382,356;161,6729;683,1818;331,828;333,8632;211,9797;256,1122
14,473;311,6483;340,0415;221,0105;211,9184;1585,3105;270,2199;225,8471;114,971;224,31;347,0048;313,3924;239,5904;176,431;303,339;288,597;420,6163;358,9582;159,1221;610,19;337,8767;321,6059;211,2989;253,4339
14,6765;313,4058;366,4111;228,9689;208,7281;1739,5038;225,7658;192,9629;117,2754;217,8817;346,0691;313,7507;240,2369;186,3613;329,8419;298,7091;411,2372;352,5747;154,8332;560,4859;346,4032;350,2227;213,699;248,5831
14,8801;324,7863;375,8877;232,1595;209,2985;1860,5661;191,3719;178,7439;129,5014;215,6959;336,5083;319,3242;237,5196;183,8998;343,1744;309,9664;404,5273;345,0818;145,4001;525,1997;359,1274;361,7968;218,8599;243,1961
15,0836;340,6033;372,0665;236,9193;209,2435;1982,1842;175,5274;172,1935;130,8526;224,7421;332,576;324,1395;242,7428;176,4984;343,5726;295,2286;407,4694;334,9842;141,908;495,228;353,6404;353,3233;227,5117;234,1261
15,2872;353,1775;376,5579;240,9236;207,7589;2043,6645;162,4862;179,3749;130,9819;226,9161;340,5872;330,563;254,2401;174,2331;339,1277;286,956;401,7489;325,8895;142,0886;476,014;358,0555;343,0017;231,3935;225,1609
15,4908;368,4487;401,3088;239,0057;212,1849;2014,43;153,2019;181,694;141,3132;223,3818;357,7599;348,1018;252,6625;172,1995;330,4779;282,3385;390,1252;313,7892;138,4108;483,5957;362,5538;358,9241;243,3448;218,5821
15,6943;387,6733;420,0651;237,7585;217,6527;2004,2336;152,1782;180,3217;146,0755;218,5289;354,5937;360,5838;242,5761;163,5786;326,9667;274,2588;388,1507;303,6797;131,6435;474,6504;367,632;369,2657;252,6639;210,3483
15,8979;389,0251;417,4262;239,3274;223,8334;1918,0082;150,5488;184,6041;144,1003;211,4902;350,0792;370,141;247,1205;147,7279;319,1441;269,9049;380,7293;294,6449;129,387;468,5291;352,4399;373,5085;258,3503;205,5598
16,1015;397,0185;413,0902;236,5891;228,6265;1785,3034;155,409;190,1409;136,1764;211,3063;335,3716;385,5407;254,4156;140,1793;317,0477;263,4817;368,1506;287,7805;135,0081;454,8233;340,0294;357,3737;264,8914;203,3696
16,305;402,3491;418,1417;230,7385;233,7215;1661,6464;159,3177;186,8743;133,7853;209,8315;321,6742;406,342;260,2738;137,3126;310,7207;260,6375;362,4895;299,3448;138,2712;460,1365;326,7069;346,5588;270,5406;203,8906
