MW;24-1;25-1;26-1;27-1;28-1;29-1;30-1;31-1;32-1;33-1;34-1;35-1;36-1;37-1
1,0305;29,3829;23,0717;25,4358;37,3372;38,7286;19,6996;35,6486;24,141;34,998;41,8155;43,7417;42,3209;33,3213;32,0625
1,1035;26,9189;24,4235;24,6903;40,9786;41,0889;17,682;39,3382;24,8222;40,0629;40,5575;51,8754;41,7583;29,5957;34,6734
1,1764;21,5718;26,2682;22,391;42,9033;42,7355;17,679;41,3497;30,4877;38,272;46,8334;51,5781;34,7512;27,4788;33,6307
1,2494;21,9806;20,4641;21,5256;38,7198;37,8513;16,151;36,7337;28,4674;33,2771;45,035;42,2984;34,0852;26,6286;32,1173
1,3224;26,5419;24,0737;22,8129;39,7409;34,8519;16,8415;36,5097;24,7649;34,689;41,2503;40,4933;36,5557;29,1503;28,7621
1,3953;27,2716;19,7205;21,4053;42,1239;35,7056;21,2986;35,3332;27,3766;41,1697;39,8676;40,4395;34,9995;29,3665;30,5178
1,4683;26,2159;18,4126;19,5956;39,2238;30,5877;20,6302;32,4885;24,667;38,7147;40,2837;37,0533;34,6734;26,8231;26,1732
1,5413;23,0122;12,6196;21,7238;32,3522;30,0109;19,899;32,7093;20,344;37,7506;39,9656;38,4199;31,6257;26,6174;27,7362
1,6142;22,4208;11,8326;25,3736;33,0165;30,3528;22,1441;34,5023;19,6297;43,5073;40,6056;37,3131;31,5611;32,0108;34,362
1,6872;17,925;11,2241;23,6233;35,917;30,0435;23,5138;33,4579;20,5;41,2409;41,7269;39,1954;39,03;28,4862;33,7918
1,7602;17,725;16,2911;19,4149;37,5461;30,3783;23,8239;34,1433;26,382;40,4009;43,8151;33,5943;40,1086;24,9279;29,1512
1,8332;21,6682;15,2907;18,8595;39,7905;30,3761;25,4364;37,9184;28,0589;45,099;40,6247;29,2714;36,0062;26,7737;21,9703
1,9061;21,8113;11,6106;21,3393;40,3837;29,3581;28,1207;35,1617;24,8987;49,5354;38,9514;27,6967;28,6704;22,7158;27,0672
1,9791;25,9974;13,7448;22,1225;39,9231;28,7644;26,7417;37,5705;25,0339;47,0292;38,4429;33,2092;30,3318;23,6444;33,0784
2,0521;31,771;13,8226;22,7972;43,9586;31,99;27,8391;43,2023;27,247;47,7392;41,7166;32,7896;33,6694;28,0287;41,5246
2,125;32,5016;13,3222;22,1759;46,4745;32,6979;32,2638;43,1147;30,7069;55,3809;48,3544;32,857;41,6785;29,0277;46,0951
2,198;32,7543;10,9024;21,3322;47,9935;37,5413;37,649;47,0915;34,0229;61,7706;55,0921;36,1774;56,7678;31,4443;52,3853
2,271;35,5819;17,3919;23,1132;55,4487;38,9223;41,0947;49,0041;37,0326;67,322;59,721;45,6886;59,7529;36,5558;50,77
2,3439;37,8171;17,944;29,2447;58,0716;40,2303;46,3629;52,4426;39,9054;74,2541;62,6386;45,5241;70,6569;40,5748;51,1212
2,4169;40,5717;21,295;34,6304;58,4067;44,0166;51,5963;60,0785;45,2706;81,7332;68,8758;41,102;83,2188;45,91;50,8582
2,4899;43,1037;25,7399;36,7133;64,6324;48,1362;51,1765;70,5094;49,0591;89,9383;78,0267;45,5826;84,8846;53,9514;52,4315
2,5629;46,3682;24,8122;40,8269;72,8915;53,729;58,5344;77,3088;55,8267;98,3837;88,437;56,5426;90,6889;59,6091;49,6287
2,6358;55,9617;30,296;43,0301;81,6589;63,446;67,5011;85,6023;61,2071;107,5779;92,9388;64,7554;114,2619;57,1991;53,2635
2,7088;62,5984;30,0929;46,9093;87,8053;66,2339;70,5962;83,5844;68,4372;117,4421;97,4571;73,0147;112,2034;58,2907;51,2585
2,7818;62,5333;31,8746;50,5054;93,9226;68,9096;71,3298;90,049;74,9387;126,9194;110,9339;80,4445;113,4098;66,1915;54,8641
2,8547;60,4347;36,4499;55,6958;99,062;76,7925;76,3786;99,5347;78,3103;137,8202;121,6835;87,3581;127,0393;77,8727;52,5261
2,9277;57,3822;36,3448;56,4258;104,9799;77,4451;74,7745;106,4638;80,5261;145,4703;124,1351;91,2975;137,6837;72,3014;57,8234
3,0007;56,3054;39,555;60,5803;109,7155;80,4189;77,358;111,9713;84,5238;151,2984;128,6556;100,7821;134,0957;61,6261;63,236
3,0737;56,3645;39,2042;59,5322;110,5698;85,6673;78,0182;117,9525;92,2211;159,0554;133,9701;91,7687;128,4956;60,8284;67,2223
3,1466;60,7429;36,8815;58,0035;109,1714;84,3131;80,572;127,4665;92,0951;161,6712;138,8021;94,9629;130,6197;67,1018;69,1588
3,2196;67,5053;36,7464;56,4262;108,5183;84,2949;87,468;140,2774;90,8809;172,8879;138,9685;94,8115;125,1431;69,7883;64,993
3,2926;68,644;34,8062;58,714;108,9552;92,9383;91,4649;135,4654;91,1412;181,5709;144,6891;94,4205;119,0015;65,8912;70,9725
3,3655;69,513;31,9369;58,527;108,8702;98,6842;90,3602;141,9343;89,5759;169,0541;139,9492;101,1338;106,8443;65,5809;67,2247
3,4385;70,096;32,2493;64,9494;108,7043;99,0303;85,0867;152,881;99,8211;159,1989;132,4781;106,566;104,8108;67,0418;66,1527
3,5115;71,581;37,8772;64,4137;110,2322;100,1975;84,946;156,6141;97,0498;154,3482;136,4603;106,1414;103,8828;65,5799;61,511
3,5844;77,0821;41,361;65,6257;111,6902;104,0351;86,918;169,6591;97,8932;152,1606;134,3284;104,3066;97,9471;62,4404;75,9615
3,6574;83,2625;40,2304;68,8302;110,6961;113,3943;90,8317;189,2533;101,2136;145,7243;132,318;108,8516;92,3458;60,9746;80,4637
3,7304;91,2502;42,3745;71,1959;114,8204;120,1263;92,537;195,1454;110,5472;141,9748;131,0706;113,8316;97,2449;62,425;78,3479
3,8034;92,5061;38,5857;75,4885;115,386;128,3771;91,9432;216,9484;117,985;138,3695;130,8615;117,58;97,1138;67,9139;76,3612
3,8763;94,3225;40,3231;77,7664;116,2938;139,0099;99,7351;235,8344;126,7879;126,415;128,5715;114,5314;94,3351;69,2268;70,1258
3,9493;102,6813;44,1947;81,7947;116,0315;144,7555;102,1515;246,3114;133,9393;120,9784;126,2277;121,8441;91,1359;73,7757;70,093
4,0223;110,0295;46,5441;81,1359;121,212;145,3009;106,1286;239,3477;141,3254;120,2092;129,2533;134,5943;91,9366;80,2117;81,2098
4,0952;118,7379;48,0817;87,5869;131,5095;149,4898;112,8317;255,2808;148,5114;122,6745;135,2001;147,4022;92,9396;81,7185;85,4577
4,1682;129,2752;49,9859;96,104;129,2003;156,5793;117,2327;251,6643;156,1108;127,8768;142,926;151,6712;94,516;78,8455;88,5267
4,2412;147,3879;51,6931;99,2789;128,4971;156,3575;117,9961;243,5298;163,2504;127,1353;139,4835;151,1147;88,2803;78,9898;91,9792
4,3141;160,7883;52,8277;100,0972;137,2521;163,0019;121,3873;245,0993;171,8676;126,4085;128,5531;160,6162;89,5153;83,1204;93,8778
4,3871;164,4202;54,2676;108,7329;142,7441;162,6665;116,8185;239,4664;167,7615;126,2799;129,8049;164,9951;92,1914;87,6269;94,8048
4,4601;180,8171;55,0981;114,8208;147,343;157,2199;117,9469;222,5644;172,6351;129,0134;131,703;164,8635;90,4099;89,5727;94,9606
4,5331;197,8847;56,1024;120,6542;153,4843;157,0772;119,8271;201,8366;184,0285;133,8951;127,5456;168,5079;95,8967;92,9812;96,0926
4,606;212,2847;55,9101;132,0259;163,5513;157,8486;122,8109;187,9291;187,651;131,8769;129,4411;169,4034;92,4877;91,4029;93,3578
4,679;227,54;54,6315;136,5989;161,0778;147,0233;123,9325;172,9726;189,6229;129,5113;134,8752;170,1123;91,1104;83,2444;97,8802
4,752;230,6012;52,7611;143,9738;160,2799;142,688;123,9339;156,6919;188,4422;130,5865;140,8037;173,718;96,8717;86,6989;103,8308
4,8249;245,3286;51,8605;156,9036;168,1522;143,5175;121,3205;149,1216;189,0728;128,9992;141,316;173,3683;101,4797;91,4867;102,9562
4,8979;260,3142;55,8366;161,9198;174,5301;147,0495;121,7228;144,3461;187,5563;121,0344;136,0636;170,9641;106,5674;88,2339;103,2459
4,9802;273,1536;57,6994;169,2947;179,0421;148,5781;120,395;145,0663;190,5046;119,4196;135,9577;170,9396;109,4414;86,8556;105,4312
5,1066;291,9725;57,8676;177,2243;186,9217;145,027;116,2812;150,351;189,9432;116,7775;132,1345;173,4429;108,0059;89,4997;100,9563
5,2717;309,0389;52,8559;185,6942;189,0701;140,8496;112,6927;142,2514;180,1808;112,7134;129,1186;177,7112;98,8817;86,3748;93,8722
5,4415;337,4762;53,6413;199,0126;183,1622;146,2861;111,9578;138,1992;170,4145;108,2824;129,641;173,75;96,733;86,304;97,0914
5,6112;344,0383;59,242;210,1148;195,2414;157,4573;116,4257;147,2124;172,1;103,7264;129,0349;168,8838;99,0638;93,1146;97,743
5,7809;357,2029;62,2594;212,694;206,7369;169,4844;122,6999;149,7859;175,0183;102,4878;129,4034;168,0113;93,0138;96,3848;96,9632
5,9507;371,2731;66,9002;207,6321;218,967;186,5613;131,3122;158,3559;175,59;95,2022;132,0851;166,9647;94,7396;102,7538;99,6864
6,1204;389,4929;76,6279;211,3066;221,9363;193,6824;142,2496;173,354;177,0347;92,4456;137,4628;173,3743;102,3573;111,4942;111,8224
6,2901;407,0031;91,8285;218,8436;243,3945;211,8304;159,073;186,3959;178,994;92,6238;140,0091;184,3923;106,7972;119,7661;123,6288
6,4599;439,0722;107,4035;232,6353;256,9811;240,3385;182,2547;208,4675;185,1738;95,5869;139,4416;197,0627;108,5514;127,7675;126,7958
