MW;24-1;25-1;26-1;27-1;28-1;29-1;30-1;31-1;32-1;33-1;34-1;35-1;36-1;37-1
6,6296;471,3814;126,2042;235,554;279,491;265,2186;207,0071;233,1994;195,436;98,5359;149,0433;207,7676;117,1419;136,4555;142,4629
6,7993;486,11;144,8467;234,067;311,1627;292,2108;243,8655;268,7381;211,449;104,3657;161,1814;217,9553;137,565;154,1942;163,963
6,9691;503,5371;169,5625;233,1949;356,5649;335,7404;287,1287;307,2165;234,8187;108,3866;181,5406;234,6558;155,0079;180,4087;170,2674
7,1388;526,6339;200,0602;236,8323;386,9703;376,2561;328,2255;350,4727;260,1462;110,0096;208,5742;268,024;163,366;208,7727;185,5162
7,3085;546,9251;231,9526;244,5919;433,8197;409,5137;372,402;401,3478;290,5517;116,0706;235,8573;299,95;180,6859;254,2454;208,5915
7,4783;575,9848;274,2437;249,6563;486,0774;456,7778;430,1049;453,3878;334,773;125,948;273,7234;351,9659;209,3633;290,6746;238,0033
7,648;593,6666;320,5163;262,7097;553,1849;509,7581;499,1;508,6135;381,2314;141,1925;315,6286;392,5158;242,5979;325,7936;275,1836
7,8177;599,2015;358,1838;283,5727;620,3765;572,0993;565,3405;579,2594;422,5279;158,4358;374,1118;424,1757;281,8365;378,3217;308,6012
7,9875;621,3987;405,4526;291,9845;672,0869;627,2739;626,1333;629,0593;462,1855;173,6864;436,8993;467,3689;326,652;433,3392;346,0993
8,1572;644,3081;460,2724;313,9172;740,9489;669,6225;710,2714;671,245;512,569;194,4912;507,0082;507,3974;380,2169;474,4658;385,7331
8,3269;654,3507;519,4185;337,5399;818,2718;725,7349;805,2008;719,6754;568,6456;220,3019;592,6477;581,3515;437,158;504,9271;426,6655
8,4967;653,402;573,7727;349,2533;885,2428;774,0753;882,5635;758,4206;629,3088;250,4846;699,9337;646,24;505,4671;564,8642;474,0087
8,6664;646,5749;621,3153;373,0115;944,8665;830,5637;947,3163;795,6745;684,1791;284,155;816,0213;700,8644;575,6721;625,1816;525,9282
8,8361;661,3847;667,4152;379,4341;1026,0213;859,3758;1012,6669;823,0698;740,5292;310,078;942,2553;733,9522;643,3555;662,1394;560,8352
9,0059;684,5515;722,6923;388,2675;1096,7478;879,7056;1071,1821;817,1744;787,1081;334,9321;1076,5131;771,9755;725,8634;703,4325;591,5229
9,1756;687,5838;791,1752;397,9574;1166,2187;893,4561;1128,1674;837,7974;833,9375;363,2261;1208,7958;811,8602;809,4009;744,3952;631,4916
9,3453;681,8026;829,0166;410,5226;1214,3557;920,2768;1176,0798;826,0623;885,1212;393,7163;1352,0963;832,8556;886,5885;778,7738;692,2032
9,5151;692,6838;841,8725;405,3213;1270,1933;918,1637;1227,5448;825,6451;944,0832;422,4347;1481,487;837,2346;984,0585;812,1188;761,436
9,6848;696,6757;848,724;413,7785;1316,281;917,2097;1296,859;808,8685;992,1437;455,8446;1603,3049;869,9803;1094,2296;834,5386;804,2815
9,8545;710,8576;856,9517;410,9101;1366,0907;934,1819;1329,4992;827,8258;1012,9728;488,1043;1708,621;881,6727;1213,4472;860,9596;844,5264
10,0243;706,5414;844,877;398,0868;1401,7616;934,4995;1360,0517;811,1826;1045,0912;502,3792;1800,8569;891,48;1295,4967;892,1595;868,4778
10,194;695,4487;815,1597;393,7008;1419,4116;906,1989;1372,0815;789,5549;1076,6316;512,3088;1798,7832;895,8007;1323,2174;911,9645;897,2153
10,3638;712,5796;765,85;384,9207;1427,8758;872,637;1376,3536;779,3247;1106,8457;522,7699;1794,7517;882,3291;1376,7555;916,5641;898,3898
10,5335;699,0978;685,7968;375,9289;1394,6516;854,2602;1341,553;769,3623;1105,5042;516,997;1744,7235;856,2269;1312,3121;912,5401;886,9295
10,7032;674,6876;594,8821;367,7297;1336,9264;821,0234;1281,5308;761,5513;1052,726;495,5808;1647,0559;839,0055;1295,2112;877,7704;827,9897
10,873;645,5208;511,1669;345,3903;1256,5695;763,1514;1182,4698;736,9367;1018,9287;468,5731;1507,3555;786,6654;1200,5724;812,8257;770,5021
11,0427;631,3679;434,5365;324,0762;1145,0636;707,1301;1083,6246;705,644;940,3141;430,9117;1337,0282;716,0473;1113,7143;750,8084;702,9227
11,2124;619,0624;368,7318;309,4251;1024,8242;644,6341;1007,1919;654,8396;871,8971;387,0356;1182,0145;645,8798;980,757;670,0677;627,1166
11,3822;607,7875;307,0657;284,6772;926,5062;579,5196;892,6978;594,5245;805,8492;337,1638;1019,8266;569,9946;838,8973;584,14;562,2232
11,5519;574,6074;253,873;273,1932;836,1265;527,5479;790,3204;540,9603;746,8104;284,6049;840,3505;495,3162;721,5488;512,0714;501,8062
11,7216;545,4781;211,5229;260,9815;751,7737;480,7973;706,0401;491,4027;674,7349;246,7747;689,3559;420,343;628,7905;445,0473;443,4046
11,8927;525,5043;167,3814;243,4036;677,3382;448,5794;633,9999;454,0502;626,1131;211,8912;566,0384;366,1332;516,5709;387,4861;391,9299
12,0722;488,1703;141,4001;230,7777;624,2644;421,0725;566,5549;416,8879;585,1618;180,2251;457,8225;310,7921;436,854;339,6024;349,7316
12,2648;449,7337;120,144;215,8686;581,6641;384,1984;516,8678;376,6493;552,0314;158,2869;374,2596;270,2073;372,1412;301,0537;315,2439
12,4595;418,4558;101,0668;205,7829;561,8131;358,3614;476,6166;367,8917;520,9355;146,2174;306,6965;238,7408;322,9598;286,2042;296,1674
12,6541;399,3456;87,4552;195,1373;559,3;350,82;438,0351;352,8822;500,0749;128,4533;262,8872;210,5358;267,5567;276,389;272,8664
12,8488;377,8843;76,5853;177,8839;565,6647;349,2142;409,382;337,1098;493,549;109,7941;216,304;192,5078;236,3887;254,9257;248,2989
13,0435;346,92;69,8874;168,3456;586,8472;353,5831;387,0648;346,1843;484,9639;94,9561;191,113;177,3167;219,1433;242,0491;234,4636
13,2382;322,1555;65,3221;160,4741;615,2806;365,0737;373,0943;340,3941;472,6464;82,453;177,7413;161,1027;198,3041;237,7217;221,4957
13,4329;308,5691;62,6228;153,1658;651,4566;387,1115;359,7584;327,944;463,4877;71,983;167,8567;141,4575;192,1077;247,4397;210,9636
13,6276;285,6357;57,652;145,288;706,4115;415,6198;355,5804;318,9547;461,2352;64,2336;162,2467;134,7627;186,0375;255,5169;212,1851
13,8223;276,8981;52,5606;141,5798;774,9469;435,8131;367,5055;304,1258;456,4713;57,742;158,192;133,4422;184,7393;259,1109;217,6748
14,0169;281,2085;51,7846;134,822;832,4986;465,3377;377,542;294,4284;462,5121;48,989;152,2723;131,2825;178,6925;268,4069;212,5796
14,2116;273,6241;52,8543;129,3352;901,2179;502,9902;390,2168;285,3158;471,1477;47,0822;152,0537;124,3803;178,3507;270,941;211,1521
14,4063;267,2753;53,7685;123,2271;970,0198;541,0175;402,7935;266,0362;470,3921;49,9577;153,8406;118,5843;178,4127;267,7155;219,4293
14,601;267,0292;51,6235;119,4681;1017,4184;581,4809;416,2341;245,6204;472,9828;49,6285;157,0182;111,8925;180,7677;269,1858;222,0965
14,7957;268,463;51,7686;119,7878;1084,192;623,4664;435,6716;228,0396;463,3456;44,2034;151,1674;117,2871;192,6707;277,5739;241,8059
14,9904;273,7254;51,4973;113,7888;1130,978;662,2847;450,3326;214,418;446,178;44,294;157,1521;116,0815;206,6552;284,5804;253,7507
15,1851;286,1284;51,4728;108,6616;1194,7175;696,8676;465,033;208,8473;433,2227;40,2386;160,987;112,7158;221,661;285,3088;264,0644
15,3797;283,467;53,498;111,1133;1273,8728;724,0924;484,9033;197,9551;413,21;38,228;168,5543;112,8278;220,6142;286,3346;268,598
15,5744;279,5175;53,5047;114,4179;1303,9202;746,5221;495,4355;175,5701;390,1254;38,1389;170,8016;114,8881;222,9123;291,9736;278,293
15,7691;286,8038;50,6939;114,4246;1315,8336;773,1139;492,1676;152,3381;359,2509;36,3891;170,4168;126,103;239,6003;306,7628;282,8219
15,9638;289,5302;51,29;106,3891;1342,2053;801,0455;486,7887;148,6352;321,5993;35,9559;174,8892;125,2826;249,6963;320,9301;281,4599
16,1585;285,9885;51,406;103,276;1337,9692;829,1874;482,7666;148,594;285,9029;35,8973;187,3145;116,4313;247,2766;325,2565;285,1895
16,3532;278,546;50,6534;107,4197;1283,2257;831,1558;469,3589;139,5367;249,9941;36,017;191,7581;120,4766;239,0611;320,6884;293,2745
16,5479;275,9912;49,6652;115,7336;1232,1383;831,619;446,4894;142,1659;227,7934;36,3465;197,0485;123,0085;239,054;312,2625;284,5235
16,7425;270,3599;47,2759;120,5888;1178,074;825,3742;424,179;147,65;216,9613;35,7155;186,8192;123,1983;236,3203;307,7981;274,3492
16,9372;260,4602;46,8431;121,9921;1081,9552;811,5872;389,751;164,2947;200,7356;35,4229;184,4344;126,7148;227,0468;286,0864;251,589
17,1319;258,2863;45,4106;125,4318;975,4;790,0398;350,4495;171,9042;179,2273;36,0914;181,9218;127,9037;216,6001;266,6122;233,2841
17,3266;248,8757;41,8448;130,3938;884,5578;742,0141;316,4099;176,8712;165,5304;35,9465;180,6763;130,3387;207,2612;242,5746;218,769
17,5213;247,1325;37,2742;132,2124;772,7498;697,4375;281,4842;188,5804;156,4123;39,5205;171,1242;128,57;179,8014;218,7637;191,8596
17,716;244,3354;31,4235;132,3815;658,0254;640,3652;243,3008;193,5809;151,9271;41,5494;156,8762;133,4034;161,8848;201,8755;170,9385
17,9107;231,9143;29,7609;139,4109;562,3824;584,2591;209,6184;191,9879;147,8821;32,3399;140,0842;136,4127;148,7428;172,3089;159,2841
18,1054;203,4664;31,4191;140,6814;481,6599;538,7026;182,7753;196,3051;146,3384;32,9266;130,1977;134,1786;144,9115;154,8019;144,5062
18,3;177,392;33,408;140,9164;413,3923;486,3496;163,8169;206,4639;144,6064;39,3211;123,1044;128,5248;130,7388;141,2742;124,9244
18,4947;167,7271;32,225;143,0913;365,0509;423,0714;144,0655;203,6693;145,6438;40,1447;109,8992;124,8652;113,6993;124,6654;113,2154
18,6894;160,3765;29,5821;146,696;328,1359;373,169;137,8267;209,6782;145,4161;39,7626;99,3192;124,7346;114,0812;117,9524;108,4717
18,8841;154,0007;31,974;149,4107;293,6983;332,1026;122,6258;212,5721;149,8056;39,6102;93,5076;133,3686;114,4195;108,4428;101,0925
19,0788;153,6373;36,5646;150,8994;273,3283;303,7984;115,949;203,283;152,9445;43,466;89,0354;119,6264;115,438;104,5368;105,7339
19,2735;150,9657;38,9605;152,7012;255,3996;274,5133;112,519;203,2786;151,3359;48,4174;83,6258;112,7198;113,5869;103,498;115,6241
19,4682;145,4423;39,0933;157,9026;241,8187;245,764;110,9921;200,021;147,4567;54,8912;86,5332;111,2205;112,1603;97,7306;102,4854
19,6628;137,8588;41,3881;163,9176;237,8763;232,3812;108,0285;191,4475;152,9638;51,0634;89,6165;112,6522;113,5026;95,1866;101,0434
19,8575;134,7988;44,4484;164,0009;232,5088;214,3496;107,3507;192,8889;156,4991;51,5983;88,3948;112,4402;121,6767;88,4351;104,2377
20,0522;135,824;47,8438;163,1543;233,0264;215,2386;114,5054;186,2666;154,9609;49,5974;86,7741;112,2791;130,1693;85,2892;103,3681
20,2469;133,4326;52,4087;161,8117;229,8054;221,0003;109,6249;182,8302;149,5185;48,2213;90,8291;113,0839;137,4182;87,0857;102,2151
20,4416;127,079;54,1591;159,2689;229,5007;221,8703;107,9448;180,1621;145,0136;48,8581;99,4546;114,956;140,7558;89,9035;100,821
20,6363;123,6552;54,4119;160,1046;221,7815;220,9436;105,6952;166,6044;149,7649;45,2409;107,4867;115,3641;145,1372;91,32;99,6841
20,831;122,7599;53,549;156,3928;212,4426;213,2528;105,5238;161,4131;141,8473;36,0104;108,6353;115,9203;151,568;84,9332;98,6444
21,0256;121,7659;51,2966;149,2245;206,168;215,2982;106,3378;150,7497;137,4756;31,3574;105,9704;122,4739;141,2632;87,7623;105,6264
21,2203;118,1733;48,8895;140,8446;197,9015;212,3803;101,455;147,6947;140,6224;29,9308;107,6487;122,583;141,4255;84,5185;105,0791
21,415;114,9394;47,0319;130,1517;191,0111;210,4135;95,1226;144,5872;133,8411;30,7638;110,27;113,7847;138,7759;75,6519;100,8445
21,6097;110,6241;45,28;124,0763;181,3809;201,6361;87,0911;135,362;126,2498;23,3274;112,063;109,2462;136,226;70,2652;98,1371
21,8044;109,2546;45,2795;119,2315;175,595;198,2017;84,139;125,5587;125,9329;23,4928;112,7308;111,0915;133,0188;72,7775;97,7484
21,9991;107,757;45,8606;108,889;170,5153;190,5817;79,0023;118,1768;125,6777;26,9414;110,3634;113,8212;127,1151;72,0422;93,9507
22,1938;109,7893;43,5375;95,5936;164,2582;183,5126;73,1166;110,9374;132,6207;22,7534;109,3018;117,3908;119,5899;73,8358;93,4785
22,3885;111,5446;42,1387;91,2087;157,7636;178,786;69,9641;105,9735;131,6934;24,1173;112,6645;123,9351;117,1736;73,3673;92,3149
22,5831;113,3739;40,8721;94,6592;156,9487;167,3295;74,0534;107,6824;126,4556;25,8039;114,3667;124,8732;103,9716;75,1001;91,691
22,7778;121,0829;41,2788;95,1521;161,4284;161,2636;75,2244;112,0806;124,8549;27,111;114,7653;126,6417;98,9975;75,6736;97,418
22,9725;130,3108;45,7182;95,8252;165,9404;165,5237;80,355;116,3462;129,1541;26,5486;118,7634;132,8318;100,1801;73,4841;109,4665
23,1672;136,006;49,3153;95,168;173,3413;166,1371;87,9619;115,7254;130,6479;29,9474;125,9541;142,7349;90,0468;75,905;116,0355
23,3619;143,5225;53,2171;91,8149;182,3953;165,6596;93,2722;121,4934;135,6279;36,7318;133,4967;150,9255;99,9328;77,65;121,224
23,5566;158,5934;61,8684;92,1066;192,1856;169,4771;100,5199;125,9786;144,1882;44,3038;145,7698;162,3545;110,4414;79,6168;124,055
23,7513;170,8441;74,1433;95,7601;208,6273;177,2083;117,1525;126,2495;153,3058;46,7103;159,1581;183,5167;115,5803;87,8904;130,1585
23,9459;187,9795;85,6088;96,5454;226,5629;184,8835;131,7808;138,1677;157,8256;50,7536;170,9247;199,4743;125,1004;99,1161;142,8496
24,1406;207,6058;97,28;98,2519;244,1707;197,7953;149,0994;148,5364;165,8724;59,1567;191,2991;205,4626;139,0182;103,3693;156,8738
24,3353;220,3025;110,7559;107,5777;267,7275;211,7768;169,9171;158,5296;179,2682;66,3849;213,2308;214,4692;155,0648;109,6874;171,4401
24,53;233,7143;130,6909;114,9461;292,5509;233,0899;182,4211;176,6894;193,6191;78,5122;241,5163;230,9105;171,396;128,4348;186,3895
24,7247;254,3912;147,5046;117,9263;319,2369;255,7088;196,8201;191,9656;210,0736;91,0981;279,1307;250,32;192,4293;141,7348;197,0406
24,9194;271,4632;162,2484;122,5841;352,9902;273,6605;222,4328;206,7643;230,904;96,7674;316,2786;272,3864;215,2069;156,0294;209,6076
25,1141;286,5223;184,323;131,8725;391,1215;292,4241;250,6681;220,1345;254,9581;105,7247;353,0897;296,3932;238,8583;167,5142;228,9814
25,3087;307,5201;208,6559;147,4166;426,685;304,4771;287,5585;242,3236;276,2969;120,8243;396,0096;318,2108;262,0026;183,3283;245,372
25,5034;339,3697;234,2291;161,4077;452,9283;317,1142;317,5144;262,8518;298,8261;131,5157;445,2296;344,3473;290,1697;210,1501;262,0243
25,6981;370,7651;259,7571;163,2783;482,1835;340,5384;336,1748;285,9034;326,2331;141,1839;495,8824;372,6556;324,5413;230,2756;282,9086
25,8939;391,7384;275,8722;172,001;519,047;363,8966;375,5596;315,963;353,8147;148,84;539,9229;404,7493;359,7284;248,8311;303,0639
26,1073;414,4309;302,4828;178,6567;547,4711;381,0161;414,6674;352,2716;382,7005;152,9051;581,8612;451,9148;394,4647;281,2358;324,3011
26,3452;436,4032;325,4772;191,6189;576,9072;391,554;448,9914;391,2143;412,2457;155,7694;622,2777;497,8322;422,306;311,7897;348,7442
26,5834;458,9933;341,0945;205,468;607,4741;410,6615;483,0113;429,5751;445,2061;151,6019;658,9315;526,0046;452,103;328,3977;375,587
26,8216;478,0743;356,7659;221,2489;634,8555;434,1034;526,2296;472,7638;480,8044;150,6197;677,0785;545,4857;485,7939;363,1839;406,2608
27,0598;481,4778;356,8128;233,3312;658,8774;430,4396;584,9006;508,2961;513,8464;150,7761;686,0444;572,6158;509,9188;399,7085;435,0339
27,298;488,6231;347,2202;249,6876;679,2017;424,7998;623,1017;544,8307;543,2179;142,5869;685,7644;595,6686;527,0564;437,0608;460,0019
27,5362;505,1016;350,3266;257,2359;697,1427;430,0248;647,0076;577,0176;573,3256;136,4874;685,8918;601,7507;547,6435;471,2429;480,6526
27,7744;517,8888;345,2375;264,2844;718,4046;432,9108;666,325;594,4626;594,7865;136,2685;675,7118;598,5085;560,789;474,6799;498,4758
28,0126;514,0352;325,6591;272,5687;722,0519;442,1294;677,524;606,5544;605,0337;132,3967;649,4109;592,3294;551,3903;478,0756;509,78
28,2508;492,7258;308,7371;272,1984;729,2581;445,3676;682,7762;626,976;600,9328;130,5686;618,8884;585,4754;537,7316;482,9268;503,5297
28,4889;467,282;295,1712;270,3989;723,6225;441,9868;664,709;610,5681;590,9582;130,1601;588,9274;572,7144;524,2831;473,0684;502,8032
28,7271;453,7563;280,3;263,0864;721,5066;439,0448;651,6206;585,9483;579,4295;125,0371;556,5745;554,1752;510,8371;458,1653;489,4278
28,9653;421,5615;255,0283;253,9312;717,4725;436,1152;654,1296;558,841;552,4601;123,3338;523,0884;533,8531;491,3526;427,8968;462,4365
29,2035;395,4185;228,3164;249,8117;703,0211;437,307;606,2527;525,0363;521,8544;121,8901;479,9463;508,8989;457,1586;418,4278;432,0478
29,4417;375,278;205,0553;234,5114;692,7826;437,0252;569,8942;488,5081;498,4009;110,6413;440,9831;480,5587;425,1701;392,8545;408,8907
29,6799;353,4031;189,8969;228,234;682,5127;432,1818;525,1975;461,5278;466,2845;107,8725;408,0533;453,9515;404,5032;370,5414;379,5177
29,9181;335,6061;170,0691;216,3109;665,7372;425,3983;499,253;437,9461;427,818;108,5602;377,1847;430,9771;384,2597;350,5966;351,5223
30,1563;316,9435;155,9916;208,6076;643,1203;413,2114;458,7372;392,0008;395,3152;101,9895;349,0419;409,3947;358,3485;328,4492;330,869
30,3945;298,7855;143,0095;195,8969;626,2525;402,694;426,2745;352,1623;367,582;90,6018;327,1267;381,4718;323,6091;298,9117;306,3373
